,topic_idx,topic_score,manual_check,topic_words,transcript_words
4910,10,0.103,1,sanction - développement - coopération - neutralité - objectif - délégation - embargo - stratégie - oeuvre - aide,"['sanction', 'neutralité', 'politicien', 'encontre', 'corruption', 'rang', 'entité', 'violation', 'invasion', 'criminel']"
5028,0,0.08,1,santé - assurance - coût - soin - prime - maladie - patient - médicament - système - pandémie,"['prime', 'maladie', 'solidarité', 'revenu', 'caisse', 'franchise', 'impôt', 'augmentation', 'classe', 'diabète']"
5136,17,0.562,1,culture - jeu - film - vidéo - message - mineur - cinéma - musée - microtransaction - langue,"['microtransaction', 'prévention', 'lettre', 'acception', 'addiction', 'siège', 'définitive', 'précision', 'danger', 'jeune']"
5170,2,0.111,1,procédure - peine - code - juge - infraction - locataire - tribunal - justice - acte - crime,"['identité', 'citoyen', 'mars', 'passeport', 'carte', 'service', 'privacy', 'composent', 'votation', 'rejet']"
5176,5,1,1,animal - agriculture - production - vin - sucre - agriculteur - produit - exploitation - élevage - viande,"['animal', 'exploitation', 'programme', 'sst', 'consommateur', 'stabulation', 'étable', 'pâturage', 'contribution', 'vache']"
5216,1,0.304,1,transparence - vote - divergence - surveillance - travail - point - information - négociation - membre - manière,"['surveillance', 'compromis', 'délégation', 'issue', 'temps', 'substance', 'passé', 'opposition', 'finance', 'outil']"
5362,1,0.064,0,transparence - vote - divergence - surveillance - travail - point - information - négociation - membre - manière,"['microtransaction', 'prévention', 'expert', 'scolarité', 'rédaction', 'programme', 'organisation', 'règlement', 'suprarégionale', 'parent']"
5500,5,0.207,1,animal - agriculture - production - vin - sucre - agriculteur - produit - exploitation - élevage - viande,"['betterave', 'culture', 'sucre', 'prix', 'hectare', 'production', 'contribution', 'quintal', 'agriculture', 'sucrerie']"
5524,0,0.236,1,santé - assurance - coût - soin - prime - maladie - patient - médicament - système - pandémie,"['urgence', 'médecin', 'taxe', 'patient', 'santé', 'classement', 'modèle', 'audition', 'forceps', 'hôpital']"
5528,7,0.197,1,biodiversité - émission - eau - produit - objectif - pesticide - gaz - réduction - utilisation - énergie,"['crise', 'énergie', 'dépendance', 'taxe', 'gaz', 'industrie', 'isolation', 'ferme', 'verdict', 'combustion']"
5656,3,1,1,entreprise - prix - marché - produit - consommateur - douane - concurrence - tourisme - secteur - taxe,"['indice', 'renchérissement', 'rente', 'adaptation', 'inflation', 'chiffre', 'évolution', 'salaire', 'prix', 'application']"
5664,1,1,1,transparence - vote - divergence - surveillance - travail - point - information - négociation - membre - manière,"['ong', 'coopération', 'sélection', 'collaboration', 'partenaire', 'critère', 'contrôle', 'contexte', 'pilotage', 'fondement']"
5803,18,0.016,1,recherche - innovation - programme - expérimentation - encouragement - participation - formation - message - chercheur - animal,"['pavillon', 'relation', 'exposition', 'innovation', 'visiteur', 'construction', 'participation', 'partenaire', 'prospérité', 'valeur']"
5847,10,0.1,0,sanction - développement - coopération - neutralité - objectif - délégation - embargo - stratégie - oeuvre - aide,"['exportation', 'pma', 'promotion', 'investissement', 'revenu', 'portefeuille', 'rentabilité', 'développement', 'planète', 'conformité']"
5875,18,0.281,1,recherche - innovation - programme - expérimentation - encouragement - participation - formation - message - chercheur - animal,"['recherche', 'adhésion', 'infrastructure', 'consortium', 'observation', 'communauté', 'membre', 'biobanque', 'lithosphère', 'statut']"
5884,7,0.056,1,biodiversité - émission - eau - produit - objectif - pesticide - gaz - réduction - utilisation - énergie,"['limite', 'dépassement', 'écosystème', 'planète', 'préservation', 'stabilité', 'phosphore', 'climat', 'eau', 'concept']"
6250,0,0.234,1,santé - assurance - coût - soin - prime - maladie - patient - médicament - système - pandémie,"['maladie', 'coordination', 'prévention', 'élément', 'pandémie', 'stratégie', 'prescription', 'bricoler', 'psychothérapeute', 'modèle']"
6301,2,0.336,1,procédure - peine - code - juge - infraction - locataire - tribunal - justice - acte - crime,"['semblant', 'procédure', 'uniformisation', 'enjeu', 'litige', 'jugement', 'conciliation', 'boutisme', 'statueront', 'juge']"
6345,11,0.065,1,asile - donnée - requérant - réfugié - information - système - demande - séjour - étranger - intégration,"['naturalisation', 'autorisation', 'nationalité', 'séjour', 'établissement', 'suite', 'possibilité', 'enfant', 'titulaire', 'unité']"
6427,3,0.16,1,entreprise - prix - marché - produit - consommateur - douane - concurrence - tourisme - secteur - taxe,"['entreprise', 'marché', 'prescription', 'contact', 'sanction', 'réglementation', 'donnée', 'étranger', 'autorité', 'obligation']"
6550,11,1,1,asile - donnée - requérant - réfugié - information - système - demande - séjour - étranger - intégration,"['réfugié', 'changement', 'migration', 'asile', 'préjudice', 'motif', 'personnalité', 'notion', 'exil', 'race']"
6601,1,0.2,0,transparence - vote - divergence - surveillance - travail - point - information - négociation - membre - manière,"['médication', 'consultation', 'médicament', 'plan', 'patient', 'travail', 'professionnel', 'fin', 'préparation', 'message']"
6796,19,0.036,1,loyer - logement - locataire - bail - cautionnement - bailleur - propriétaire - construction - intérêt - bâtiment,"['rénovation', 'congé', 'logement', 'immeuble', 'étude', 'ménage', 'expulsion', 'location', 'parc', 'résiliation']"
6798,5,0.325,1,animal - agriculture - production - vin - sucre - agriculteur - produit - exploitation - élevage - viande,"['agroforesterie', 'arbre', 'bois', 'production', 'système', 'culture', 'pilote', 'résultat', 'agriculteur', 'surface']"
6806,7,0.115,1,biodiversité - émission - eau - produit - objectif - pesticide - gaz - réduction - utilisation - énergie,"['environnement', 'économie', 'déchet', 'matériau', 'produit', 'révision', 'cycle', 'réutilisation', 'ressource', 'durée']"
6829,5,0.042,1,animal - agriculture - production - vin - sucre - agriculteur - produit - exploitation - élevage - viande,"['bois', 'pouce', 'piste', 'profession', 'importation', 'coup', 'bien', 'titre', 'secteur', 'raison']"
6878,18,0.078,1,recherche - innovation - programme - expérimentation - encouragement - participation - formation - message - chercheur - animal,"['industrie', 'innovation', 'défense', 'dessein', 'sécurité', 'impulsion', 'recherche', 'objectif', 'démarche', 'détail']"
,,,,,
,,False,13,,
,,True,84,,
,,Undefined,3,,
,,TOTAL,100,,
,,% True,0.84,,
